Name,Brief Description,Detailed Description,Drill Type,Skill Level (1:New to Sport; 2:Beginner; 3:Intermediate; 4:Advanced; 5:Expert),Complexity (1:Low; 2:Medium; 3:High),Suggested Length Min,Suggested Length Max,Number of People Min,Number of People Max,Skills Focused On,Positions Focused On (Chaser; Beater; Keeper; Seeker),Video Link,Diagrams
Highway of Horror,Dodge bludgers; Field awareness; Quaffle block,"Cones are set up to create a lane approximately 3m wide and 8-10m long (longer if desired). Chasers, keepers, and seekers are put into two lines, one at each end of the lane. 2-3 beaters are positioned on the outside of the lane, each with a bludger. Non-beater positions must run through the lane without getting bludged; they may move within the lane but may not exit the lane. Chasers and keepers may have a quaffle while running if desired; seekers may not. At the end of the lane, the quaffle is handed off (if applicable) and the next person runs through in the opposite direction.","Skill-focus,Competitive",4,2,10,20,7,,"Dodging, Field Awareness, Quaffle Blocking, Agility","Chaser,Beater,Keeper,Seeker",,
5 second pause,Learn where to set up on defense,"Every time possession changes during a scrimmage, blow the whistle. At this whistle, players who are now on defense have 5 seconds to run back and set up their defensive setup. Offensive players may not move from where they were when the whistle blew. After counting to 5 seconds, blow the whistle again and the offense is permitted to move. In the 5 second pause, the coach can call instruction or reminders for where to set up. The time of the pause may be changed; if players are new to defensive set up they may need a second or two more; if players are more experienced the pause may be reduced to 3 or 4 seconds.",Controlled scrimmage,2,1,15,30,10,,"Defensive Positioning, Teamwork, Field Awareness","Chaser,Beater,Keeper,Seeker",,
Heads down,Field awareness,"During the scrimmage, every minute or two, blow the whistle to stop play. When play is stopped all players must drop their brooms and close their eyes. The coach will then call out something for them to point to: the quaffle, the nearest opposing bludger, their nearest teammate of the same position, the snitch (if there is one), etc. Players must point and then when the coach allows them to, they may open their eyes and look where the person is. If they get the answer wrong, a punishment such as 5 pushups can be assigned.",Controlled scrimmage,2,1,15,30,10,,"Field Awareness, Communication, Positioning","Chaser,Beater,Keeper,Seeker",,
Ultimate quidditch,Learn to move into supporting positions; Learn to look for the pass,"Players may only take 3 steps with the quaffle, but are permitted to move as much as they would like if they're not carrying the quaffle. If a team has learned to look for the pass as soon as they get the quaffle, and players are always be moving into a position to receive a pass from the quaffle carrier, it should be near-impossible to tell that the team is playing with a restriction.",Controlled scrimmage,2,1,15,30,10,,"Passing, Positioning, Teamwork","Chaser,Beater,Keeper,Seeker",,
Seeker on the Pitch,Encourage seekers to work with beaters; Beater decision-making and communication with chasers,"During the scrimmage, put a snitch on the pitch. Call out an arbitrary point differential; teams must adjust their strategies accordingly. Goals do count towards changing the point differential (i.e. if the arbitrary differential was 'team A is down by 50', and then team A scores twice, they are now in snitch range). Every few stoppages of play, call out a new differential.",Controlled scrimmage,2,2,15,30,12,,"Strategic Adjustment, Beater-Seeker Coordination","Chaser,Beater,Keeper,Seeker",,
Pass to everyone,Encourage passing,"Before a team is allowed to score, each player must have possession of the quaffle. When explaining this drill, ensure you use the phrase 'have possession' rather than 'touch' - 'touch the quaffle' leaves the loophole of the keeper holding the quaffle in his or her zone and everyone putting a finger on it. A variation on this drill, depending on the attitude of your team, is that all goals must be either scored by or assisted by a non-male chaser or keeper.",Controlled scrimmage,2,1,15,30,10,,"Passing, Team Involvement, Communication","Chaser,Beater,Keeper,Seeker",,
2 bludgers,Encourage passing and communication between beaters; Train one-bludger defense,"In this scrimmage, there are only two bludgers on pitch; each team may only have one. If one team recovers an extra bludger so they have two, the second must be rolled back to the other team. Beaters must communicate with the chasers to make a one-bludger defense work, and must communicate and with each other. Encourage beaters to pass the bludger between themselves or set up in a position where one can easily get the rebounds from the other.",Controlled scrimmage,2,2,15,30,10,,"Beater Communication, One-Bludger Defense, Team Strategy","Chaser,Beater,Keeper,Seeker",,
Side lanes,Discourage hero runs; encourage passing,"Cones are set up on the keeper zone line, 2m and 4m inside of the pitch boundary, to create lanes that are 2m wide. In order to enter the keeper zone, players must either pass across the keeper zone line at any point on the line, or run with the ball through the lanes at the side of the pitch.",Controlled scrimmage,2,2,15,30,10,,"Passing, Positioning, Strategy","Chaser,Beater,Keeper,Seeker",,
Tree practice,Bludger aim; Rebounds,"In a park or area with multiple trees, beaters pick a route and number of trees they must tap with their bludger in a specific order. They then must run and hit all the trees as quickly as possible, in the right order.","Skill-focus,Conditioning",1,1,5,15,1,,"Bludger Accuracy, Conditioning, Rebounds",Beater,,
Beater battles,Learning bludger rules; Catching; Bludger aim,"Beaters start in a brooms down position, facing each other, approximately 10m apart. Each beater has a bludger on the ground beside them. On 'Brooms up!' they must sprint to get the bludger next to the other beater, then attempt to knock out the other beater as quickly as possible.","Skill-focus,Competitive",2,2,5,15,2,,"Bludger Accuracy, Speed, Reaction Time",Beater,,
Firing squad,Bludger aim; Dodging; Catching,One beater stands in front of a fence/wall/other firm surface. The other beaters must attempt to hit them. The single beater must attempt to catch or dodge the bludgers. The target can be changed either every X minutes or every time they are hit.,"Skill-focus,Competitive",2,2,5,15,2,,"Bludger Accuracy, Dodging, Catching",Beater,,
Long target practice,Aiming and throwing long bludges,"There are three variations on this: Firstly, beaters simply pick a target on a wall or fence and attempt to hit the target from different distances. Secondly, beaters can take a partner and do 1-on-1 battles, simply farther apart. Thirdly, beaters take partners. Both beaters start at the same cone, and a second cone is set up approximately 10-12m away. The beater without a ball starts running, the beater with a ball can hit the beater without the ball once they get to the cone. This is to simulate a fast break in which a beater must turn and throw the ball back towards their hoops at a chaser running away from them.",Skill-focus,2,2,10,20,2,,"Long-Distance Accuracy, Reaction Time",Beater,,
1-on-1 battles (dodge then sprint for rebound),Rebounds; Bludger aim; Catching; Physicality,"Beaters work with a partner. One partner starts with the ball and must bludge the other partner. After the bludge (or attempted bludge), both players must attempt to get the rebound. Beaters may catch the bludger, or attempt to tackle the other beater in order to regain control of the bludger. Continue this drill for the desired length of time.","Skill-focus,Competitive,Contact",2,2,5,15,2,,"Bludger Accuracy, Rebounds, Physicality, Catching",Beater,,
Beware the Beaters,Understand seeker beating; Learn to work with seekers; Communication,"Four people mount brooms. Two people seek, two people beat. The four people are split up in two teams, each containing a seeker and a beater. Each team walks ten feet away from each other, in opposite directions, so that the teams end up 20 feet away from each other. In the middle, a referee sets down a bludger and a snitch waits. Then the ref walks to the side and yells 'Brooms up!' The seekers and beaters run to the middle. The beaters try to get the bludger and beat the opposing seeker, while the seekers try to catch the snitch. The drill ends when a seeker catches the snitch or is beat.","Skill-focus,Match-like situation",3,2,5,15,5,,"Seeker-Beater Coordination, Communication, Snitch Catching","Beater,Seeker",,
Keeper Drill,Improve keeper skills,"Set up three cones in a triangle formation about 5-7 meters apart. The keeper starts at one cone and must sprint to touch each of the other two cones before returning to the starting position. As soon as the keeper touches the starting cone, a chaser (positioned about 10 meters away) throws the quaffle at one of the three hoops. The keeper must then attempt to block the shot. Rotate chasers after each throw.",Skill-focus,3,2,10,20,2,,"Agility, Reaction Time, Shot Blocking","Keeper,Chaser",,
Chaser Passing Drill,Improve passing accuracy and speed,"Form a circle with 5-6 chasers, each about 5 meters apart. Start with one quaffle. Chasers must pass the quaffle to non-adjacent players in the circle as quickly and accurately as possible. After 30 seconds, add a second quaffle to increase difficulty. Coach can call out specific players who must receive the next pass to simulate game-like decision making.",Skill-focus,2,2,10,15,5,,"Passing Accuracy, Decision Making, Hand-Eye Coordination",Chaser,,
Full-field Scrimmage,Simulate game conditions,"Conduct a full scrimmage with all positions, including seekers and a snitch runner. Implement all official rules. Stop play occasionally to discuss strategy and positioning. Rotate players through different positions if desired.","Match-like situation,Competitive",4,3,20,45,14,,"All Game Skills, Teamwork, Strategy","Chaser,Beater,Keeper,Seeker",,
Bludger Dodging Gauntlet,Improve dodging skills,"Set up two lines of beaters, facing each other, about 5 meters apart. Each beater has a bludger. One at a time, chasers (or other positions) must run through the gauntlet while beaters attempt to hit them with bludgers. Chasers can use quaffles to block if desired. Increase difficulty by narrowing the gauntlet or adding more beaters.","Skill-focus,Competitive",3,3,10,20,8,,"Dodging, Agility, Quaffle Blocking","Chaser,Beater,Keeper,Seeker",,
